OpenDSS Value (p.u.),Bus
1.0027144511284782,p17ulv37373
1.0027221772932133,p17ulv37581
1.0027241965215028,p17ulv34422
1.0027252625358836,p17ulv34385
1.002734931599293,p17ulv34611
1.0027648643548415,p17ulv38167
1.0027783456332449,p17ulv57355
1.0028234472792037,p17ulv32051
1.0028298434736098,p17ulv12204
1.0028450881349409,p17ulv57663
1.0028507966919529,p17udm56621
1.0028973605000453,p17ulv38127
1.0029118616567203,p17udm38550
1.002913982339988,p17ulv57278
1.002926665221056,p17ulv34573
1.0029387134107974,p17ulv34545
1.002949022958893,p17ulv57325
1.0029527929575082,p17ulv33452
1.0029783291182914,p17ulv45388
1.0030273099637914,p17udm38277
1.0030310749003497,p17udm56574
1.003031913175493,p17ulv34719
1.0030464875077678,p17udm35352
1.0030776983688527,p17udt10197lv
1.0031124823871749,p17udm38129
1.0031227908378306,p17ulv57173
1.0031375900439967,p17ulv22440
1.003139128941883,p17udm38778
1.003159457719847,p17ulv34520
1.003181067953153,p17udm7263
1.0031973714845273,p17ulv57305
1.003247385598348,p17ulv38131
1.003261789950528,p17ulv57748
1.0032761940326769,p17ulv32553
1.0032928042732467,p17ulv57534
1.0032934666930307,p17ulv37950
1.0032998522775207,p17ulv57442
1.0033176531890997,p17ulv39716
1.0033403345905352,p17ulv34570
1.0033806943921073,p17udm56626
1.00339205082807,p17udm35351
1.0033982484260895,p17udm38548
1.0034013683668643,p17ulv57583
1.0034130305903788,p17udt6078lv
1.0034132645581613,p17udm38486
1.0034272168868608,p17udm35204
1.0034342343993403,p17ulv34645
1.00346255108504,p17ulv38242
1.003477273716871,p17udm23428
1.003484767416575,p17ulv34697
1.003495730968262,p17ulv57448
1.00349938106842,p17udm56558
1.0035254106946865,p17ulv57340
1.0035802730421066,p17udm56551
1.0035805861580027,p17udm35245
1.0035898020769163,p17ulv34582
1.00359683523601,p17udm56575
1.0036186977114343,p17udm56625
1.0036351682258595,p17ulv37471
1.0036791897501076,p17ulv22420
1.0036870535861029,p17udm23401
1.0036935984340292,p17udm35280
1.0037250000905167,p17udm38278
1.0037279007963982,p17udm23426
1.0037358502886526,p17ulv57418
1.0037408990815089,p17ulv57557
1.0037545884823338,p17ulv39781
1.003769610228543,p17ulv37704
1.0037876290602397,p17ulv7008
1.0038016440510669,p17ulv9884
1.0038166073172072,p17ulv57165
1.003821246506036,p17ulv57233
1.0038508628174978,p17ulv34639
1.0039009647323782,p17udm56619
1.0039070966486694,p17ulv22472
